Name,Team,1B,2B,3B,HR,BB,SB,CS,AVG,OBP,SLG,wRC+,Fld,WAR,playerid
Nomar Garciaparra,Red Sox,122,51,3,21,61,5,2,0.372,0.434,0.599,154,9,7.6,190
Alex Rodriguez,Mariners,98,34,2,41,100,15,4,0.316,0.42,0.606,158,16,9.5,1274
Derek Jeter,Yankees,151,31,4,15,68,22,4,0.339,0.416,0.481,133,-23,3.7,826
Jose Valentin,White Sox,87,37,6,25,59,19,2,0.273,0.343,0.491,107,9,4.5,256
Miguel Tejada,Athletics,104,32,1,30,66,6,0,0.275,0.349,0.479,109,-3,3.5,941
Rafael Furcal,Braves,106,20,4,4,73,40,14,0.295,0.394,0.382,107,6,3.3,88
Ricky Gutierrez,Cubs,92,19,2,11,66,8,2,0.276,0.375,0.401,104,-12,1.3,387
Omar Vizquel,Indians,139,27,3,7,87,22,10,0.287,0.377,0.375,96,-1,2.5,411
Mike Bordick,- - -,115,30,1,20,49,9,6,0.285,0.341,0.443,101,-8,2,129
Rich Aurilia,Giants,92,24,2,20,54,1,2,0.271,0.339,0.444,100,2,2.5,1106
Edgar Renteria,Cardinals,107,32,1,16,63,21,13,0.278,0.346,0.423,95,0,2,1178
Deivi Cruz,Tigers,115,46,5,10,13,1,4,0.302,0.318,0.449,92,4,2.4,1025
Damian Jackson,Padres,81,27,6,6,62,28,6,0.255,0.345,0.377,93,8,2.6,471
Neifi Perez,Rockies,127,39,11,10,30,3,6,0.287,0.314,0.427,59,13,0.3,620
Alex Gonzalez,Blue Jays,85,31,2,15,43,4,4,0.252,0.313,0.404,79,-12,-0.3,281
Tony Womack,Diamondbacks,125,21,14,7,30,45,11,0.271,0.307,0.384,70,-6,0,78
Royce Clayton,Rangers,84,21,5,14,42,11,7,0.242,0.301,0.384,67,-9,-0.9,226
Cristian Guzman,Twins,103,25,20,8,46,28,10,0.247,0.299,0.388,69,-4,-0.1,728
Pat Meares,Pirates,74,22,2,13,36,1,0,0.24,0.305,0.381,69,-3,-0.2,1008712
Rey Sanchez,Royals,118,18,2,1,28,7,3,0.273,0.314,0.322,57,22,1.7,213
